topic_number,top_words
1,"looks, looking, old, sporty, kind, older, sedan, modern, ai, clean, sleek, small, odd, boxy, really"
2,"door, two, background, vehicle, sports, road, parked, front, blue, headlights, silver, two door, trees, four, back"
3,"parked, lot, trees, older, model, looks, parking, older model, parking lot, building, background, sedan, behind, white, front"
4,"looks, color, blue, nice, vehicle, sedan, front, grey, good, doors, dark, older, shape, small, seems"
5,"good, old, color, model, probably, design, think, red, nice, much, two, family, fast, look, drive"
6,"door, four, four door, sedan, door sedan, plate, license, license plate, blue, front, dark, silver, black, gray, small"
