topic_number,top_words
1,"looks, looking, old, sleek, really, european, sporty, ai, ugly, small, boxy, weird, little, nice, kind"
2,"door, back, vehicle, blue, appears, truck, two, headlights, colored, design, silver, grey, windows, four, mid"
3,"parked, trees, background, building, front, lot, sedan, parking, parking lot, looks, new, door, behind, shiny, seems"
4,"looks, color, blue, vehicle, nice, dark, older, front, grey, dark blue, shape, something, vehicle looks, boring, well"
5,"probably, good, old, model, think, color, red, design, two, sports, fast, much, two door, unique, door"
6,"good, license, license plate, plate, doesnt, family, white, sedan, gas, gray, suv, front, look, looking, drive"
7,"looks, older, model, older model, blue, old, sedan, lot, red, front, parked, dark, end, door, back"
8,"four, four door, door, sedan, black, doors, four doors, door sedan, white, rims, older, small, tell, sporty, silver"
